Date,Region,District,Population,Densite,Maladie,Cas_confirmes,Morts,Temperature_moy,Humidite_moy,Precipitations_tota,Vent_vit_moy,Densite_moustiques,Espece_vecteur,Acces_soins
2021-01-15,Dakar,DAKAR-SUD,3841685,7023.23,Paludisme,10924,37,24.83,80.28,775.79,4.58,2.84,Anopheles gambiae,0.85
2021-01-15,Dakar,KEUR-MASSAR,3841685,7023.23,Dengue,14,0,24.83,80.28,775.79,4.58,0.0,Aedes aegypti,0.8
2021-01-15,Diourbel,DIOURBEL,1868583,387.38,Paludisme,0,0,27.55,49.55,563.66,2.83,0.0,Anopheles gambiae,0.61
2021-01-15,Diourbel,BAMBEY,1868583,387.38,Dengue,249,1,27.55,49.55,563.66,2.83,0.13,Aedes aegypti,0.71
2021-01-15,Fatick,NIAKHAR,916565,133.78,Paludisme,788,8,27.69,53.21,757.66,3.0,0.86,Anopheles gambiae,0.84
2021-01-15,Fatick,DIOFFIOR,916565,133.78,Dengue,16,0,27.69,53.21,757.66,3.0,0.02,Aedes aegypti,0.67
2021-01-15,Kaffrine,KAFFRINE,761524,67.89,Paludisme,2757,12,28.04,48.92,1072.05,2.59,3.62,Anopheles gambiae,0.73
2021-01-15,Kaffrine,KAFFRINE,761524,67.89,Dengue,2,0,28.04,48.92,1072.05,2.59,0.0,Aedes aegypti,0.61
2021-01-15,Kaolack,NIORO DU RIP,1200460,224.2,Paludisme,1,0,27.16,61.22,930.81,2.57,0.0,Anopheles gambiae,0.89
2021-01-15,Kaolack,NIORO DU RIP,1200460,224.2,Dengue,3,0,27.16,61.22,930.81,2.57,0.0,Aedes aegypti,0.68
2021-01-15,Kedougou,KEDOUGOU,196866,11.71,Paludisme,74410,262,27.9,57.16,1500.0,1.84,100.0,Anopheles gambiae,0.73
2021-01-15,Kedougou,KEDOUGOU,196866,11.71,Dengue,2,0,27.9,57.16,1500.0,1.84,0.01,Aedes aegypti,0.84
2021-01-15,Kolda,KOLDA,851478,62.0,Paludisme,131381,698,27.54,67.14,1145.99,2.06,100.0,Anopheles gambiae,0.69
2021-01-15,Kolda,KOLDA,851478,62.0,Dengue,51,0,27.54,67.14,1145.99,2.06,0.06,Aedes aegypti,0.78
2021-01-15,Louga,DAHRA,1058032,42.4,Paludisme,1956,9,27.07,48.71,700.83,3.23,1.85,Anopheles gambiae,0.75
2021-01-15,Louga,DAROU-MOUSTY,1058032,42.4,Dengue,8,0,27.07,48.71,700.83,3.23,0.01,Aedes aegypti,0.63
2021-01-15,Matam,THILOGNE,731162,24.88,Paludisme,9400,37,28.42,41.8,779.94,2.89,12.86,Anopheles gambiae,0.76
2021-01-15,Matam,THILOGNE,731162,24.88,Dengue,33,0,28.42,41.8,779.94,2.89,0.05,Aedes aegypti,0.62
2021-01-15,Saint-Louis,PODOR,1099518,57.12,Paludisme,472,4,25.96,55.03,896.2,3.74,0.43,Anopheles gambiae,0.7
2021-01-15,Saint-Louis,SAINT-LOUIS,1099518,57.12,Dengue,48,0,25.96,55.03,896.2,3.74,0.04,Aedes aegypti,0.7
2021-01-15,Sedhiou,BOUNKILING,583799,79.4,Paludisme,0,0,26.39,67.37,1500.0,1.62,0.0,Anopheles gambiae,0.7
2021-01-15,Sedhiou,BOUNKILING,583799,79.4,Dengue,29,0,26.39,67.37,1500.0,1.62,0.05,Aedes aegypti,0.67
