Date,Region,Maladie,Cas_confirmes,Temperature,Humidite,Precipitations,Zone_humide,Densite_moustiques,Espece_vecteur,Population,Densite_population,Acces_soins
2016-01-31,Dakar,Dengue,28,26.2,75,7.6,oui,416,Aedes,3500000,6025,85
2016-01-31,Dakar,Paludisme,93,26.2,75,7.6,oui,416,Anopheles,3500000,6025,85
2016-01-31,Diourbel,Dengue,19,31.4,71,2.3,partiel,297,Aedes,1800000,120,70
2016-01-31,Diourbel,Paludisme,44,31.4,71,2.3,partiel,297,Anopheles,1800000,120,70
2016-01-31,Fatick,Dengue,9,28.7,68,7.6,oui,367,Aedes,900000,45,65
2016-01-31,Fatick,Paludisme,24,28.7,68,7.6,oui,367,Anopheles,900000,45,65
2016-01-31,Kaffrine,Dengue,7,30.1,72,4.6,partiel,251,Aedes,700000,50,60
2016-01-31,Kaffrine,Paludisme,20,30.1,72,4.6,partiel,251,Anopheles,700000,50,60
2016-01-31,Kaolack,Dengue,10,26.6,74,14.6,oui,449,Aedes,1200000,150,68
2016-01-31,Kaolack,Paludisme,38,26.6,74,14.6,oui,449,Anopheles,1200000,150,68
2016-01-31,Kedougou,Dengue,3,29.2,50,1.1,oui,465,Aedes,200000,12,55
2016-01-31,Kedougou,Paludisme,8,29.2,50,1.1,oui,465,Anopheles,200000,12,55
2016-01-31,Kolda,Dengue,14,30.4,72,19.5,oui,444,Aedes,800000,60,58
2016-01-31,Kolda,Paludisme,38,30.4,72,19.5,oui,444,Anopheles,800000,60,58
2016-01-31,Louga,Dengue,10,26.8,63,2.6,partiel,233,Aedes,1100000,40,67
2016-01-31,Louga,Paludisme,36,26.8,63,2.6,partiel,233,Anopheles,1100000,40,67
2016-01-31,Matam,Dengue,5,30.8,51,1.6,non,280,Aedes,600000,20,50
2016-01-31,Matam,Paludisme,19,30.8,51,1.6,non,280,Anopheles,600000,20,50
2016-01-31,Saint-Louis,Dengue,10,26.0,72,11.2,partiel,273,Aedes,1000000,80,72
2016-01-31,Saint-Louis,Paludisme,26,26.0,72,11.2,partiel,273,Anopheles,1000000,80,72
2016-01-31,Sedhiou,Dengue,4,32.9,76,10.0,oui,330,Aedes,500000,35,53
2016-01-31,Sedhiou,Paludisme,17,32.9,76,10.0,oui,330,Anopheles,500000,35,53
2016-01-31,Tambacounda,Dengue,9,36.9,49,1.5,partiel,271,Aedes,800000,25,52
2016-01-31,Tambacounda,Paludisme,27,36.9,49,1.5,partiel,271,Anopheles,800000,25,52
2016-01-31,Thies,Dengue,17,30.7,66,2.3,partiel,211,Aedes,2000000,200,75
2016-01-31,Thies,Paludisme,56,30.7,66,2.3,partiel,211,Anopheles,2000000,200,75
2016-01-31,Ziguinchor,Dengue,7,33.3,72,11.2,oui,441,Aedes,600000,90,70
2016-01-31,Ziguinchor,Paludisme,22,33.3,72,11.2,oui,441,Anopheles,600000,90,70
2016-02-29,Dakar,Dengue,37,29.6,73,6.7,oui,459,Aedes,3500000,6025,85
2016-02-29,Dakar,Paludisme,122,29.6,73,6.7,oui,459,Anopheles,3500000,6025,85
2016-02-29,Diourbel,Dengue,16,33.3,73,6.1,partiel,211,Aedes,1800000,120,70
2016-02-29,Diourbel,Paludisme,65,33.3,73,6.1,partiel,211,Anopheles,1800000,120,70
2016-02-29,Fatick,Dengue,7,26.1,68,7.4,oui,356,Aedes,900000,45,65
2016-02-29,Fatick,Paludisme,31,26.1,68,7.4,oui,356,Anopheles,900000,45,65
2016-02-29,Kaffrine,Dengue,8,30.7,71,6.7,partiel,297,Aedes,700000,50,60
2016-02-29,Kaffrine,Paludisme,20,30.7,71,6.7,partiel,297,Anopheles,700000,50,60
2016-02-29,Kaolack,Dengue,9,28.6,61,9.9,oui,400,Aedes,1200000,150,68
2016-02-29,Kaolack,Paludisme,40,28.6,61,9.9,oui,400,Anopheles,1200000,150,68
2016-02-29,Kedougou,Dengue,3,29.4,50,4.9,oui,359,Aedes,200000,12,55
2016-02-29,Kedougou,Paludisme,8,29.4,50,4.9,oui,359,Anopheles,200000,12,55
2016-02-29,Kolda,Dengue,10,28.9,76,14.5,oui,406,Aedes,800000,60,58
2016-02-29,Kolda,Paludisme,29,28.9,76,14.5,oui,406,Anopheles,800000,60,58
2016-02-29,Louga,Dengue,10,26.4,69,10.8,partiel,202,Aedes,1100000,40,67
2016-02-29,Louga,Paludisme,33,26.4,69,10.8,partiel,202,Anopheles,1100000,40,67
2016-02-29,Matam,Dengue,5,34.9,48,4.7,non,214,Aedes,600000,20,50
2016-02-29,Matam,Paludisme,23,34.9,48,4.7,non,214,Anopheles,600000,20,50
2016-02-29,Saint-Louis,Dengue,10,28.3,70,12.6,partiel,256,Aedes,1000000,80,72
2016-02-29,Saint-Louis,Paludisme,27,28.3,70,12.6,partiel,256,Anopheles,1000000,80,72
2016-02-29,Sedhiou,Dengue,6,33.2,76,10.1,oui,376,Aedes,500000,35,53
2016-02-29,Sedhiou,Paludisme,18,33.2,76,10.1,oui,376,Anopheles,500000,35,53
2016-02-29,Tambacounda,Dengue,8,34.4,42,1.6,partiel,290,Aedes,800000,25,52
2016-02-29,Tambacounda,Paludisme,21,34.4,42,1.6,partiel,290,Anopheles,800000,25,52
2016-02-29,Thies,Dengue,20,26.0,62,9.1,partiel,269,Aedes,2000000,200,75
2016-02-29,Thies,Paludisme,62,26.0,62,9.1,partiel,269,Anopheles,2000000,200,75
2016-02-29,Ziguinchor,Dengue,9,28.6,77,14.7,oui,456,Aedes,600000,90,70
2016-02-29,Ziguinchor,Paludisme,21,28.6,77,14.7,oui,456,Anopheles,600000,90,70
2016-03-31,Dakar,Dengue,42,25.6,67,9.8,oui,383,Aedes,3500000,6025,85
2016-03-31,Dakar,Paludisme,117,25.6,67,9.8,oui,383,Anopheles,3500000,6025,85
2016-03-31,Diourbel,Dengue,15,31.2,67,4.5,partiel,272,Aedes,1800000,120,70
2016-03-31,Diourbel,Paludisme,53,31.2,67,4.5,partiel,272,Anopheles,1800000,120,70
2016-03-31,Fatick,Dengue,8,34.5,74,13.9,oui,379,Aedes,900000,45,65
2016-03-31,Fatick,Paludisme,29,34.5,74,13.9,oui,379,Anopheles,900000,45,65
2016-03-31,Kaffrine,Dengue,8,34.7,73,5.8,partiel,239,Aedes,700000,50,60
2016-03-31,Kaffrine,Paludisme,18,34.7,73,5.8,partiel,239,Anopheles,700000,50,60
2016-03-31,Kaolack,Dengue,14,34.4,70,9.4,oui,336,Aedes,1200000,150,68
2016-03-31,Kaolack,Paludisme,31,34.4,70,9.4,oui,336,Anopheles,1200000,150,68
2016-03-31,Kedougou,Dengue,3,36.8,55,3.8,oui,432,Aedes,200000,12,55
2016-03-31,Kedougou,Paludisme,10,36.8,55,3.8,oui,432,Anopheles,200000,12,55
2016-03-31,Kolda,Dengue,13,32.9,79,12.7,oui,400,Aedes,800000,60,58
2016-03-31,Kolda,Paludisme,38,32.9,79,12.7,oui,400,Anopheles,800000,60,58
2016-03-31,Louga,Dengue,10,34.0,65,6.9,partiel,209,Aedes,1100000,40,67
2016-03-31,Louga,Paludisme,33,34.0,65,6.9,partiel,209,Anopheles,1100000,40,67
2016-03-31,Matam,Dengue,7,30.9,52,1.1,non,204,Aedes,600000,20,50
2016-03-31,Matam,Paludisme,15,30.9,52,1.1,non,204,Anopheles,600000,20,50
2016-03-31,Saint-Louis,Dengue,8,32.9,63,10.1,partiel,209,Aedes,1000000,80,72
2016-03-31,Saint-Louis,Paludisme,31,32.9,63,10.1,partiel,209,Anopheles,1000000,80,72
